id	sentence1	sentence2	score
82	"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come."""	"Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come."	4.423892796039581
83	A woman is cutting tofu.	A woman is cutting an onion.	1.4635585248470306
84	An oriental lady is cutting a carrot into thin pieces.	A woman is slicing a carrot.	4.348708987236023
85	Two men are dancing together.	A woman opens a closet.	-0.38116730749607086
86	It rather depends on which country you're in.	That depends on which country you are in.	4.159324765205383
87	A man and woman are posing for the camera.	A cat sitting on sand looking up at the camera.	0.5483993142843246
88	The group is eating while taking in a breathtaking view.	A group of people take a look at an unusual tree.	1.4317478239536285
89	Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15 with 85-mph wind.	Claudette, the first hurricane of the Atlantic storm season, hit the mid-Texas coast July 15, classified as a Category 1 hurricane with maximum sustained winds of 85 mph.	4.7497886419296265
90	Green and white bird perched on tree branch.	Bird with a green head and white chest perched on a tree branch.	4.65084046125412
91	The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.	According to the report, average life expectancy has increased by nearly two years since 1990.	3.2331863045692444
92	A group of teenagers in red shirts are smiling.	A group of people are wearing orange shirts.	1.9475209712982178
93	Three children wrestle on a floral carpet.	Three children playing on the floor.	3.49778950214386
94	A man is playing a guitar.	A man is playing a keyboard.	1.917864978313446
95	Small child playing with letter P	2 young girls are sitting in front of a bookcase and 1 is reading a book.	0.6594543159008026
96	Let's show we won't let them off, said Marc Blondel, leader of the Force Ouvriere union.	The movement to defend pensions is gaining momentum, and we won't give up, said Marc Blondel, leader of the Force Ouvriere union.	3.3816492557525635
97	Someone is drawing.	Someone is dancing.	0.5018660053610802
98	This is the tip I find most useful:	Something like this is useful:  	2.910909354686737
99	Diana was at her lowest ebb when she wrote the letter to Paul Burrell claiming there was a plot to kill her.	Burrell said Diana wrote a letter in October 1996 claiming there was a plot to kill her in a smash and gave it to him to keep as insurance.	3.0828964710235596
100	A dog running on the grass	Two dogs are running on the grass.	3.955751061439514
101	The train sits at the train station.	A train parked at a train station.	4.032993316650391
102	A bicycle is parked by a shop.	A bicycle is parked outside a bookstore.	3.915054500102997
103	Can you do this?	So, CAN you do this?	4.155130386352539
104	A man is dancing.	A man is thinking.	1.271567940711975
105	The tech-laced Nasdaq Composite Index gained 2.90 points, or 0.18 percent, to 1,606.87.	At 12:10 p.m. EDT, Canada's benchmark S&P/TSX composite index was up 6.87 points or 0.1 per cent to 6,979.29.	2.4213260412216187
106	You got it right.	Yes you got it.	2.681416869163513
107	Aventis, based in Strasbourg, France, is one of a handful of companies that still make the flu vaccine.	Aventis, based in Strasbourg, France, is one of the leading producers of the vaccine and one of a handful of companies that still make it.	4.429848492145538
108	A white dog runs along a rocky shoreline.	A dog jumps over a hurdle.	1.5217237174510956
109	A man is slicing a tomato.	A man is riding a horse.	0.3270241990685463
110	Two men standing in grass staring at a car.	Two women sitting in chairs in a shop.	0.26250027120113373
111	A man is playing his guitar at Joe's Cafe.	The man is playing the drums for his mom.	1.3106346130371094
112	A man and a woman is kissing each other.	A man and a woman are hugging and kissing each other.	4.422353208065033
113	"The agency will ""consider as timely any tax returns or payments due"" Aug. 15 if they are submitted by Aug. 22."	The agency said it would consider as timely any tax returns or payments due from Friday through Aug. 22 if they are completed by Aug. 22.	4.012852907180786
114	You do not need to worry.	You don't have to worry.	4.554659724235535
115	A woman riding a brown horse.	A girl riding a brown horse.	4.35027539730072
116	"A young boy jumping into a pool that says ""no diving""."	A boy jumps into a pool while lifeguards watch.	3.061273992061615
117	A woman is dancing.	A woman plays the clarinet.	1.485065221786499
118	A man is dragging a dead deer.	A man is jumping into water from a cliff.	0.6316457688808441
119	a dog jumps into the water.	A dog is jumping into the water.	4.893600940704346
120	A woman pours a mixture into a bowl and mixes it.	A woman is preparing an egg in a skillet.	1.656513512134552
121	The wood probably isn't rotten, it's just worn out.	It's just worn out and not safe.	1.9928860664367676
122	He is about to run into the boat	The man is getting his boat clean to take it out on the water.	2.7666565775871277
123	Work into it slowly.	You work on it slowly.	4.174138605594635
124	A man is playing a guitar.	A man is singing while playing the guitar.	3.677343428134918
125	A man is playing a ukulele.	A man is sitting and playing a small guitar.	2.2439058125019073
126	Two men are helping a boy.	Two men are with a young child.	3.2144546508789062
127	A man running on a track.	a man running track	4.901748299598694
128	It's not a good idea.	It's a good idea to do both.	1.7857719957828522
129	Special police detained Khodorkovsky early on Saturday in the Siberian city of Novosibirsk, where his plane had made a refuelling stop.	Police detained Khodorkovsky early on Saturday when his jet made a refueling stop in the Siberian city of Novosibirsk.	4.468259215354919
130	In the year-ago period, Pearson posted a 26 million pre-tax profit.	A year ago the firm posted a profit of 26 million pounds.	3.539324700832367
131	Veteran stage and screen actor Hume Cronyn died of cancer Sunday.	Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.	3.2933002710342407
132	A brown and white dog is running across a brown field.	A person hanging from a rocky cliff.	-0.21927755326032639
133	You PROBABLY don't have any chance at the moment.	"Saying ""thanks, I don't have any questions at the moment."""	1.5392319858074188
134	Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.	The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said.	3.666244149208069
135	You might have to try a variety before you find one that clicks with him.	My advice would be to try a variety of coffees that you can afford and find one you like.	1.3984665274620056
136	Shares of Corixa fell 12 cents to $6.88 on the Nasdaq stock market.	Corixa's stock barely flinched on the news, dipping 12 cents to close at $6.88.	3.593837022781372
137	A woman in a black and orange jacket throws a stick for a brown and black dog to fetch.	The man in a blue jacket is standing in a crowd.	0.2009538933634758
138	A woman is climbing a cliff.	A woman is climbing a rock face.	3.399623930454254
139	A man wearing black formal wear & a black top hat is riding a white show horse.	A man with a top hat riding a white horse.	4.229967296123505
140	A young laughing girl and a boy are playing on a big drum.	A baby girl and little boy are standing next to a guitar and a drum.	3.2131698727607727
141	Canada is a small country, and it needs companies like this, deals like this.	"A passionate nationalist, Mr. D'Alessandro said: ""Canada is a small country, and we need more companies like this."""	3.015264868736267
142	In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history, Bush said.	Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.	4.484683275222778
143	A woman is slicing some tomatoes.	A woman is chopping a potato.	1.6809824109077454
144	Two Indian women with two Indian girls near the water.	Two Indian woman stand with two Indian girls on a beach.	3.912981152534485
145	I was in a similar situation.	I am in a similar situation.	4.284754395484924
146	It later emerged that he had broken his right thigh and bones in his right wrist and elbow.	Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures.	3.894316554069519
147	A yellow school bus parked in a field.	A brown horse in a green field.	1.007441207766533
148	A car is driven down the road.	A girl is walking down a road.	2.990298867225647
149	"The workers accuse General Dynamics of ""reverse age discrimination"" because of a change in retirement benefits in 1997."	General Dynamics was sued when it changed its retirement benefits in 1997.	3.42832088470459
150	The boy also sprayed the room full of retardant from fire extinguishers, which made it hard to see, the chief said.	The boy fired once into a wall and sprayed the room with fire extinguishers, making it hard to see, the chief said.	4.2262303829193115
151	The man is exercising.	A man is doing pull-ups.	2.660161256790161
152	A woman is taking a bath.	A woman is riding a horse.	1.184862107038498
153	A car is pulling off the side of the road onto the street.	A silver car parked on the side of the road in front of the hills.	2.8274935483932495
154	Three women cook.	Two women cooking.	3.317239284515381
155	So think it in this way.	Think of it this way.	3.958531618118286
157	A person is playing a piano.	A person is slicing a potato.	0.7471510767936707
158	A group of male construction workers repair railroad tracks on a cloudy day	A crew of workers working on a railroad track.	3.1424736976623535
159	Men are playing soccer.	Two teams play soccer.	3.3959555625915527
160	A girl is coming up on a car.	A girl jumps on top of a car.	3.867082893848419
161	A guy is taking off his sunglasses.	A boy is removing his sunglasses.	4.023323655128479
162	Two boys playing a game of flag football.	Two boys are playing flag football.	4.871614575386047
163	You should do it.	You should never do it.	2.658781409263611
164	There's not a lot you can do about that.	I really do not think there is much you can do about that.	4.096853733062744
165	Ten people riding ATVs.	4 people are riding bikes	1.3842490315437317
166	The man is mixing whipping cream.	The man is holding a skunk.	0.20333828404545784
167	Two black dogs are playing on the grass.	Two black dogs are playing in a grassy plain.	4.476185441017151
168	A female DJ holds up a Michael Jackson album.	a girl holding a picture of Michael Jackson smiling	2.750784754753113
169	Two puppies playing with a plastic bag.	Two dogs playing in a yard.	2.6856055855751038
170	A young woman is putting stickers all over her face.	A woman is applying stickers to her face.	4.4676074385643005
171	He also reaffirmed his wish to resolve the North Korean nuclear crisis peacefully.	But the North Korean nuclear crisis has dominated his time in office.	2.310030311346054
172	A small boy is building with some wooden blocks.	A small boy wearing a blue shirt stacks wooden blocks.	3.8781091570854187
173	National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women.	National Breast Cancer Centre head Professor Christine Ewan said there was no need for panic.	2.2808820009231567
174	A group of people are dancing.	Women are dancing outside.	3.379414677619934
175	Unfortunately, this question cannot be answered in its full generality.	This cannot be answered in general.	3.8192546367645264
176	You answered your own question.	You pretty much answered your own question.	4.317083358764648
177	A person is slicing some garlic.	A person is dicing a clove of garlic with a knife.	3.9474934339523315
178	The answer to this and all such similar questions is in two stages:	The answer to both questions is: Yes.	2.4330872297286987
179	It depends on what you want to do next, and where you want to do it.	It depends on what you want to achieve.	3.363337814807892
180	Many football players sitting on the ground.	A dog rolls on the ground.	0.6723503023386002
181	Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.	Klarman was arrested by FBI agents Monday morning at his home in New York.	3.200509548187256
182	I think it's just a habit.	I think it's a bad idea.	1.7431527376174927
183	This a picture of the countryside with a large city in the background.	There are some black cattle in a grassy plain with a large tree in the background.	0.8467990159988403
184	It depends entirely on your company and your contract.	It depends on your company.	4.429185688495636
185	The three grocery chains were relying on store managers and replacement workers to keep their stores open.	The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.	3.536371886730194
186	The research firm earlier had forecast an increase of 4.9 percent.	The firm had predicted earlier this year a 4.9 percent increase.	4.4004130363464355
187	The best thing you can do is to know your stuff.	The best thing to do is to overcome the fussiness.	1.249048113822937
188	It depends on what you want to have in your tank.	i think it depends what you want:	1.7078515887260437
189	"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen."	My understanding of this is that there is a lower percentage of successful impregnations with frozen, Ezzell said.	4.466233253479004
190	Two dogs play in the grass.	Two tan dogs play in the snow.	2.8623589873313904
191	Two men standing in grass staring at a car.	A woman in a pink top posing with beer.	-0.07165789604187012
192	The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.	Prices for Treasury securities also rose, with the yield on the benchmark 10-year note falling to 4.19 percent.	3.287106454372406
193	Parrot pushing a small shopping cart.	A white bird is steering a shopping cart.	3.5231608152389526
194	Several kids jump up and down on a trampoline.	A man is doing back flips on a trampoline.	2.6293930411338806
195	The woman in overalls paints a picture for her wall.	A woman is painting her wall white.	3.4371143579483032
196	Child holding an object that is on fire.	A child in pink holds an object that appears to be on fire.	4.167432188987732
197	A woman in a plaid outfit is looking through a bag of produce.	This is the picture of a woman in a flowered dress, toting something in a bucket.	1.5580478310585022
198	She was the only woman in her unit and a member of Teamsters Local 995.	She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.	3.407455086708069
199	A man breaks cinder blocks on another man.	A woman breaks an egg into a pan.	0.890653133392334
200	There is a cook preparing food.	A cook is making food.	4.749566316604614
201	It depends on how it's used.	It depends on how long it's been out.	2.943752408027649
202	You have to decide what you want to get out of this.	You have to find out what works for you.	1.842454969882965
203	A wet child enjoys the summer.	A woman is enjoying the summer weather.	3.0991774797439575
204	A surfer is riding on a breaking wave.	a group of surfers catching a wave	3.160771429538727
205	Two dogs running on the shore.	A white dog running on the beach.	2.7523332834243774
206	On the cell's surface, the foreign components are recognised by other cells that then realise it is infected and kill it.	The foreign bits are recognized by other cells that realize it is infected and kill it.	4.4347599148750305
207	I don't see why there should be any problem with this whatsoever.	I don't see why this could be a problem.	3.72809499502182
208	A couple is playing the game of Life.	The family is playing a game together.	2.634819447994232
209	A cat is walking around a house.	A woman is peeling potato.	0.2006201073527336
210	Two men are fistfighting in a ring.	Two men fistfight in a ring.	4.664594531059265
211	A man in a white shirt and hat playing a guitar.	A man in a green shirt and black hat playing a guitar on stage.	2.953435480594635
212	A man in a wet suit is throwing a baby wearing a wet suit up into the air.	A man in a white print shirt and a woman in a black dress dancing.	1.2015387415885925
213	Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January.	The judge scheduled another oversight hearing for late January.	3.181934356689453
214	You should do it.	You should do what it says.	3.396329879760742
215	Several people on motorcycles in a market square.	People on motorbikes in a city street.	3.0847948789596558
216	A man is singing while playing the guitar.	A man is stuffing himself full with food.	0.6326498091220856
217	Two animals sitting on a rock.	The brown train is sitting on the railroad tracks.	0.3417034447193146
218	New legit download service launches with PC users in mind.	BuyMusic is the first subscription-free paid download music service for PC users.	2.4097485840320587
219	A orange and white cat laying on a blanket in a black leather chair.	A ginger and white cat curled up and asleep on a leather chair.	3.8218989968299866
220	It really doesn't matter.	It doesn't matter unless it is really far off.	2.8961187601089478
221	You are on the right path.	You are right on the mark.	2.437291443347931
222	A man uses a chainsaw to sculpt a phallic ice sculpture.	A man is using a chainsaw to carve a wooden sculpture.	3.7812209129333496
223	A man eats popcorn while watching cartoons late one night.	A man and a girl are watching cartoons at home	2.151620090007782
224	A person is drawing on a large touchscreen.	A man is drawing on a digital dry erase board.	2.2559401392936707
225	Wal-Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. were among the merchants posting May sales that fell below Wall Street's modest expectations.	Wal- Mart, Kohl's Corp., Family Dollar Stores Inc., and Big Lots Inc. posted May sales that fell below Wall Street's modest expectations.	4.8161837458610535
226	Two men talking in front of a plane.	Two men talking in front of a small plane.	4.907181262969971
227	A yellow car speeds along a snowy field.	A yellow car drives quickly in the snow.	4.444084465503693
228	A man plays a trumpet.	A man is playing the trumpet.	4.941686689853668
229	I don't think it makes any tremendous difference.	I don't think it makes much difference.	4.616492390632629
230	A boy in red jumping into a sandbox.	A dog swimming in a pond	-0.17701193690299988
231	A child is waking up.	A girl is waking up.	4.197267293930054
232	It depends on what you want to do next, and where you want to do it.	It depends on what and where you are going to do.	3.3945506811141968
233	You just have to base your answer on what you do know, which is what you want.	They can, but the way to do it depends on what you have available.	0.42011313140392303
234	A woman is sitting in the water.	The woman is skating in the park.	1.0683006793260574
235	There are a few things I think you should do.	There are a few things I don't understand:	0.840129554271698
236	A boy climbs a forest hill.	A boy is climbing a hill.	3.8945788145065308
237	A skunk is looking here and there.	A skunk looks at the camera.	3.9435601234436035
238	Mr McDonnell is leading Grant Thornton International's inquiry into the Italian business.	Mr McDonnell wants to establish if the Italian business followed Grant Thornton's audit procedures.	3.7598294019699097
240	You just have to base your answer on what you do know, which is what you want.	Remember this is your degree we are talking about, its up to you what you want to do.	2.0032207667827606
241	I have the same thing.	I have had the same problem.	3.5684221982955933
242	"My answer to your question is ""Probably Not""."	I think that the short  answer to your question is: No.	2.492839992046356
243	It's not a good idea.	It's not just a good idea, it's an excellent idea.	3.7482476234436035
244	A black and white photo of a love seat.	Black and white photo of couch with purse at one end.	2.032550573348999
245	A woman and man are dancing in the rain.	A man and woman are dancing in rain.	4.954274892807007
246	It's not a good idea.	It is not a good idea.	4.791931509971619
247	Someone is playing a piano.	Someone is playing guitar.	1.9286388158798218
248	I was in a similar situation.	Personally when I was in a similar situation I sent the couple a card and a gift.	1.4302735030651093
249	A white bird with long orange legs standing by a lake.	Large white bird with long orange beak standing on the shoreline.	4.061223268508911
250	The man is playing the guitar.	The man is peeling a potato.	0.27474546805024147
251	Two cats sitting on a couch looking out the window.	Two cats are looking at a window.	4.4356536865234375
252	A black and white dog is jumping into the water.	a white dog runs across the water.	2.9596853256225586
253	Sayliyah was the command base for the Iraq war, but Central Command sent hundreds who ran the war back home to Tampa, Florida.	As Sayliyah was the command base for the Iraq war, but hundreds who ran the war have returned to the United States.	3.7550216913223267
254	A person is boiling noodles.	A cat is licking a bottle.	0.18937693908810616
255	You just have to base your answer on what you do know, which is what you want.	You may want it, but the process given to you is what you have to work within.	1.4894217252731323
256	There are a few things you can do: 	There are a few things I think you should do.	3.0795422196388245
257	A man sleeps with a baby in his lap.	A man asleep in a chair holding a baby.	3.528478443622589
258	Yes, there is a chemical difference.	Yes, there is a reason for it.	0.8590666204690933
259	A man reels in a fish.	A woman is pouring oil in a bowl.	0.24960089474916458
260	Blue and red plane in mid-air flight.	a blue and red airplane while in flight.	4.394230246543884
261	"The best the investigators can do is nitpick about the process and substance of isolated business decisions ... and question his competence as a manager."""	"Ebbers' lawyer, Reid Weingarten, said despite the thorough investigation, ""the best the investigators can do is nitpick about the process and substance of isolated business decisions."""	3.303966224193573
262	We need to change old habits and seriously rethink business-as-usual.	"He urged employees to ""avoid complacency"" and to ""change old habits and seriously rethink business-as-usual."""	3.580591380596161
263	A yellow vested person is doing road work.	A person is doing very well on their skateboard.	1.05725958943367
264	A person is putting shredded cheese in a pot.	A hamster is eating some seeds.	0.2447262406349182
265	A man is playing a piano.	A guy is peeling a potato.	0.8044039458036423
266	If you are not sure how to do it, don't do it at all.	If not, don't do that and spend that time with something you like to do.	1.7376849055290222
267	People making a structure out of cards.	Two people are together and one is using a piece of clothing in a different way than intended.	0.8595604449510574
268	The coffee simply picks up the aluminum from the pot, as the coffee is acidic.	One idea is cleaning the coffee residue from the coffee pot.	2.5687378644943237
269	A man in a suit dances with a young girl in front of an audience.	A women dangles from a blue fabric connected to a tree.	-0.03450102638453245
270	But HRT should not be used to prevent heart disease or any other chronic condition.	The clear message is it should not be used to prevent cardiovascular disease, Manson said.	3.344089090824127
271	The baby boy wants his mother.	A baby boy is happy to see his mother.	3.403843641281128
272	Girl playing in a puddle with her bare feet.	A child is playing with two white and black geese.	0.436149537563324
273	I had the same problem as you.	I have just had the same problem.	3.748401403427124
274	A person is slicing onions.	Someone is slicing an onion.	4.695066809654236
275	It probably depends on the cut of meat.	It depends on the meat and how it's cut.	4.8420339822769165
276	Yes, you have to file a tax return in Canada.	You are not required to file a tax return in Canada if you have no taxable income.	3.7120473384857178
277	This is not a good idea.	But it is not a good idea.	4.165095388889313
278	Two kids are swimming.	Six kids are going swimming.	3.598485589027405
279	Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.	Geraldine Andrews, Reynolds' daughter-in-law and a friend of Wilson's family, said Robinson had recently taken Wilson out of a mental health facility.	4.0126460790634155
280	A man is driving a car.	A man is riding a horse.	0.9526203572750092
281	It's pretty much up to you.	It's much better to ask.	1.729360967874527
282	A man is seasoning some carrots.	A woman is slicing garlic.	0.7308221608400345
283	A woman is dancing.	A woman is playing violin.	1.9539424777030945
284	Shortly after the opening bell, the Dow Jones Industrial Average was up 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33.	After a weak start, the Dow Jones Industrial Average ended the day up 26.26 to 9,217.35, while the S&P 500 index rose 3 to 980.59.	2.8140324354171753
285	You need to read a lot to know what you like and what you don't.	Yes, you should create a portfolio site to showcase what you can do and what you've done.	0.9219320863485336
286	I'm going to go out on a limb here...	I'm going to be very direct here.	1.680111289024353
287	A man is demonstrating how to work with clay while at least two people observe.	At least one of the three women is talking to the others.	0.5158603191375732
288	One boy is pushing another boy on a swing.	A boy is pushing another boy on the swings.	4.705437421798706
289	That is your problem, not your supervisor's.	Work with your supervisor and your team to solve the problem.	2.575705647468567
